                     objid  nvote  spiral  elliptical  uncertain          ra       dec  petror90_r   expAB_r          u          g          r          i        u-g
49     1237650371024846971     24       0           0          1  193.793328 -2.161139    14.47375  0.635811  17.516570  15.605710  14.749370  14.338790   1.910860
50     1237650371025436702     71       0           0          1  195.129685 -2.184733    10.33652  0.232639  19.202910  17.358370  16.376760  15.867720   1.844540
51     1237650371025436774     28       0           1          0  195.142740 -2.134075    18.85715  0.673739  17.897060  15.856940  14.913490  14.473510   2.040120
52     1237650371025764462     66       1           0          0  195.878154 -2.233346    12.00130  0.217057  19.521880  17.076730  16.112470  15.578590   2.445150
53     1237650371560013940     35       0           0          1  189.950512 -1.771102    13.86932  0.625647  17.813840  16.906390  16.595850  16.444880   0.907450
54     1237650371560145036     31       1           0          0  190.169316 -1.718282    10.84907  0.343553  19.581920  17.911560  16.832110  16.327790   1.670360
55     1237650371561521459     53       0           0          1  193.372132 -1.742030    15.08601  0.439368  17.833970  16.761360  16.410250  16.265280   1.072610
56     1237650371562176650     52       1           0          0  194.859714 -1.782810    13.21993  0.509235  17.530560  15.984770  15.227340  14.814460   1.545790
57     1237650371562176685     18       0           0          1  194.883050 -1.764640    11.49120  0.636474  18.716610  16.651780  15.749760  15.313380   2.064830
58     1237650371563028620     32       0           0          1  196.840679 -1.632790    10.33410  0.662990  17.732750  15.854980  14.989690  14.590050   1.877770
59     1237650371563290737     69       0           1          0  197.329576 -1.622531    21.04553  0.789449  17.345290  15.368490  14.411850  13.974240   1.976800
60     1237650372098457684     34       0           1          0  193.537999 -1.257529    14.56038  0.884907  17.405770  15.477350  14.609150  14.213640   1.928420
61     1237650372098916543     35       0           1          0  194.613372 -1.332752    10.05498  0.916798  18.454040  16.442880  15.551250  15.142540   2.011160
62     1237650372099047595     28       0           0          1  194.868764 -1.371809    12.66634  0.340596  18.676020  16.611100  15.630360  15.154910   2.064920
63     1237650372099244132     40       1           0          0  195.227084 -1.346649    13.25697  0.630157  16.552820  15.384060  14.881630  14.632370   1.168760
64     1237650372100030580     54       0           1          0  197.052258 -1.282303    10.67760  0.830763  18.429430  16.515690  15.613200  15.232130   1.913740
65     1237648702985798060     25       0           0          1  227.546492 -1.246324    10.61910  0.417084  18.787680  17.580630  17.110300  16.872400   1.207050
66     1237648702986322339     29       1           0          0  228.800539 -1.120202    10.68157  0.524511  18.966850  17.390380  16.492800  16.056420   1.576470
67     1237648703522210023     34       1           0          0  226.445299 -0.714911    19.03382  0.437856  17.001910  15.554600  14.952850  14.605160   1.447310
68     1237648703522537881     37       0           1          0  227.319370 -0.676691    10.45257  0.760423  18.705560  16.850240  15.926720  15.534580   1.855320
69     1237648703522603269     53       1           0          0  227.375806 -0.771168    15.46260  0.516986  16.678620  15.291350  14.664650  14.299060   1.387270
70     1237648703522603390     42       0           0          1  227.440050 -0.754194    12.54298  0.604922  18.602090  16.598410  15.736530  15.338600   2.003680
71     1237648703522668753     31       1           0          0  227.503922 -0.715795    10.73677  0.296951  18.639400  16.791400  15.804610  15.295120   1.848000
72     1237648703523193136     27       0           1          0  228.767177 -0.789812    17.74142  0.668855  18.036340  15.990620  14.950120  14.512650   2.045720
73     1237648703523520610     35       0           0          1  229.464882 -0.793206    10.63328  0.877983  17.536060  15.757310  14.986480  14.604600   1.778750
74     1237648703523520869     42       1           0          0  229.443688 -0.776116    18.72819  0.771961  17.020520  15.757060  15.179310  14.859300   1.263460
75     1237648703524307076     37       1           0          0  231.348654 -0.709978    15.75263  0.612371  17.351330  15.910280  15.226350  14.856930   1.441050
76     1237648703524634921     31       0           0          1  232.042728 -0.811830    11.17791  0.457412  18.375660  16.668460  15.758590  15.295590   1.707200
77     1237648703524897061     31       0           1          0  232.638745 -0.809319    16.70265  0.815342  17.609500  15.511800  14.554800  14.121180   2.097700
78     1237648703524962835     61       1           0          0  232.856720 -0.820291    13.08320  0.199974  18.474930  16.621020  15.689290  15.177000   1.853910
